Player,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Dajaune Brown,0(1),1,-,-,-,-,-,-,-,-,1,6.08
Kieran Dowell,1(4),150,1,-,0.4,0.4,0.2,-,0.2,0.2,0.6,6.08
Cameron Humphreys,0(3),10,-,-,-,-,-,-,-,-,-,6.08
Onel Hernández,2(4),222,-,-,0.3,0.2,0.2,0.3,-,0.3,0.3,6.08
Iké Ugbo,6(14),621,-,-,0.7,0.1,0.3,0.2,0.2,0.3,1.3,6.08
Danny Imray,2(1),108,-,-,0.3,-,-,0.7,-,0.7,0.7,6.08
Max O'Leary,5,450,-,-,-,-,-,-,-,-,-,6.08
Gatlin O'Donkor,0(1),3,-,-,1,-,-,-,-,1,-,6.07
Dan McNamara,3(5),311,-,-,0.4,0.1,-,0.6,-,0.1,0.8,6.07
Ryan Nyambe,3(4),262,-,-,0.1,-,0.3,-,-,0.6,0.1,6.07
Owen Eames,0(2),13,-,-,1,-,0.5,0.5,-,0.5,1,6.07
Reece Johnson,4(7),435,-,-,0.2,0.1,0.2,0.5,-,0.3,1.1,6.06
Brandon Williams,0(1),5,-,-,-,-,-,-,-,-,-,6.06
Dujuan Richards,0(1),13,-,-,-,-,-,-,-,-,-,6.06
Ryan Andrews,0(3),29,-,-,-,-,0.3,0.3,-,-,0.3,6.06
Miguel Ángel Brau,1(7),193,-,-,0.3,0.1,0.3,0.3,-,0.1,0.9,6.06
Yukinari Sugawara,1(1),67,-,-,-,1,-,-,-,-,1,6.06
Ryan Hardie,2(4),179,-,-,1.3,0.2,0.2,-,-,0.3,1.2,6.05
Jamie Shackleton,0(3),21,-,-,-,-,-,-,-,-,0.3,6.05
Rio Shipston,0(4),24,-,-,-,-,-,-,-,-,0.3,6.05
Bruno Fernandes,0(4),14,-,-,-,-,-,-,-,-,-,6.04
Harry Cornick,0(1),6,-,-,-,-,-,-,-,-,-,6.04
Nathan Broadhead,0(1),22,-,-,-,-,-,1,-,1,1,6.04
Thomas Waddingham,0(4),55,-,-,0.5,-,-,0.3,-,0.3,0.5,6.04
Conor Chaplin,1(3),133,-,-,1.3,0.5,0.3,0.5,0.3,0.3,1,6.04
