Player,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
David Ozoh,16(4),1251,-,0.2,24.2,90.7,-,1,0.1,6.51
Tommy Doyle,17(13),1583,3,1.2,30.1,83.7,0.9,2.5,-,6.5
Greg Leigh,10(6),894,-,0.1,14.9,56.7,0.4,0.4,-,6.5
Macaulay Gillesphey,18(8),1702,-,0.4,30.9,72.6,0.2,3,-,6.5
Elias Jelert,3(5),323,1,0.8,22.1,84.2,0.6,0.5,0.1,6.5
Luke Cundle,8(9),792,-,0.6,19.1,84.9,0.4,0.5,-,6.5
Brandon Powell,1,73,1,1,18,61.1,-,-,-,6.5
Jake Clarke-Salter,4(1),249,-,0.4,24.4,82.8,0.2,1.4,-,6.5
George Hirst,19(8),1523,1,0.5,9.5,64.8,-,0.1,-,6.5
Tyreece Campbell,24(9),2219,2,0.8,15.2,80.2,0.5,0.3,-,6.5
Daniel Bennie,2(5),302,-,0.9,11.9,69.9,0.1,0.4,0.1,6.5
Hidde ter Avest,5(2),396,-,0.6,20.6,75.7,0.4,0.6,-,6.49
Milutin Osmajic,14(3),1172,-,0.2,8.1,68.6,-,0.2,-,6.49
Michael Smith,13(16),1387,1,0.3,10.5,62,-,-,-,6.49
Jaden Heskey,7(1),647,-,0.3,31.3,72.4,-,1.4,-,6.49
Matty Litherland,4,312,-,0.5,28.8,67.8,0.8,0.5,0.3,6.49
Sam Silvera,8(11),1004,1,0.5,22.1,81.2,0.3,0.5,0.1,6.49
Zak Sturge,16(9),1358,-,0.2,19,75.3,0.1,0.7,-,6.49
Tyrese Campbell,19(11),1703,2,0.5,8.8,65.4,0.1,0.1,-,6.49
Jack Stacey,13(12),1203,1,0.6,21,75.9,0.4,1.1,-,6.49
Conor Coventry,25(6),2234,1,0.5,34,78.6,0.6,2.5,-,6.49
Aidomo Emakhu,12(15),1160,1,0.6,6.2,64.3,0.9,0.2,-,6.49
Lucien Mahovo,2(4),203,-,0.5,20,77.5,0.3,1,-,6.48
Jeremy Petris,5(5),450,-,0.8,13.7,81,0.2,0.7,-,6.48
Alex Palmer,10,834,-,-,27.5,81.5,-,4.1,-,6.48
